country_name,year,rate,air_pollution,alcohol_use,gdp_per_capita,uhc_index,obesity_rate,tobacco_use
New Zealand,2013,0.0003090947495011,6.77775160923795,9.1,42977.388040868,81.6,30.5,22.880000000000003
New Zealand,2014,0.0003323120334166,6.59603176441408,8.9,44578.2253868016,81.6,30.9,22.880000000000003
New Zealand,2015,0.000310199778242,6.57020164227168,8.9,38639.3501941427,85.0,31.3,16.4
New Zealand,2016,0.0003302013712424,6.63410190310228,8.9,40070.8956577431,81.6,31.7,22.880000000000003
New Zealand,2017,0.0003400511280551,6.82907618571061,9.1,42913.186956185,86.0,32.1,22.880000000000003
Norway,2000,0.0003094939840158,10.4740973033701,5.7,38178.2368777076,72.0,12.8,44.9
Norway,2001,0.0002828163284215,10.1879455331557,5.7,38601.897639231,82.25172413793103,13.3,27.794169096209913
Norway,2002,0.0002892257636266,9.77123127954717,5.8,43170.557174499,82.25172413793103,13.8,27.794169096209913
Norway,2003,0.0003080534795413,9.30851275504977,6.1,50250.3298214345,82.25172413793103,14.3,27.794169096209913
Norway,2004,0.0002992405061344,8.88434817216868,6.2,57768.6980958462,82.25172413793103,14.8,27.794169096209913
Norway,2005,0.0002944334297306,8.58329574340912,6.4,67047.1704558264,81.0,15.2,34.6
Norway,2006,0.0003304865027589,8.3718056211126,6.5,74434.4996835671,82.25172413793103,15.6,27.794169096209913
Norway,2007,0.000330686797609,8.17307019719305,6.6,85502.2677087731,82.25172413793103,16.0,31.2
Norway,2008,0.0003372965276642,8.00676104351433,6.7,97503.5407803783,82.25172413793103,16.3,27.794169096209913
Norway,2009,0.0003425041937683,7.89254973194028,6.7,80347.5700665184,82.25172413793103,16.7,27.794169096209913
Norway,2010,0.0003670951079003,7.85010783433474,6.6,88163.2085931423,84.0,16.9,26.6
Norway,2011,0.0003589283714812,8.65989791417676,6.4,101221.813476644,82.25172413793103,17.2,27.794169096209913
Norway,2012,0.0003785572667965,7.30698815670179,6.3,102175.919298374,82.25172413793103,17.4,27.794169096209913
Norway,2013,0.0003743510749433,7.02749190738719,6.2,103553.840134417,82.25172413793103,17.6,27.794169096209913
Norway,2014,0.0003997885209132,7.09267324687363,6.1,97666.6951838749,82.25172413793103,17.8,27.794169096209913
Norway,2015,0.0003899539838885,6.75214227846257,6.0,74809.9658049898,86.0,18.0,20.5
Norway,2016,0.0004086014943201,6.23059189808068,6.0,70867.3609970749,82.25172413793103,18.3,27.794169096209913
Norway,2017,0.0004218209544304,6.52155808218128,6.0,76131.8384032764,86.0,18.5,27.794169096209913
Norway,2018,0.0004256265565834,6.69607752509394,6.0,82792.8427113304,82.25172413793103,18.7,27.794169096209913
Norway,2019,0.000417414467727,6.38122446338577,6.0,76430.5889473338,86.0,19.0,27.794169096209913
Norway,2020,0.0003814240537681,6.05589724673443,7.2,68340.0181033702,82.25172413793103,19.2,15.8
Norway,2021,0.0004063982509684,8.077034580025495,6.241990049751244,93072.8925119571,87.0,19.5,15.0
Norway,2022,0.0003634310021182,8.077034580025495,6.241990049751244,108798.451165901,82.25172413793103,19.8,14.2
Norway,2023,0.0003683422294385,8.077034580025495,6.241990049751244,87925.0944188399,82.25172413793103,16.459981078524127,27.794169096209913
Philippines,2000,9.825775531081564e-06,31.5189595125717,4.6,1050.79272954492,36.0,3.2,36.5
Philippines,2001,8.435334731206772e-06,31.2923190881475,4.6,969.530611744453,48.90909090909091,3.3,30.08
Philippines,2002,7.869350981499995e-06,31.05570387518,4.6,1014.90879320106,48.90909090909091,3.5,30.08
Philippines,2003,7.934656798773853e-06,30.7743493607566,4.6,1027.2301192843,48.90909090909091,3.7,30.08
Philippines,2004,8.511524851359607e-06,30.4134910319648,4.5,1099.63013023758,48.90909090909091,3.9,30.08
Philippines,2005,8.021731221805665e-06,29.9383643758918,4.4,1220.46018559867,38.0,4.1,31.7
Philippines,2006,7.999962616047712e-06,29.1782265763242,4.4,1426.14649179546,48.90909090909091,4.3,30.08
Philippines,2007,8.489756245601654e-06,28.0341722365094,4.4,1712.65543282793,48.90909090909091,4.5,30.1
Philippines,2008,8.467987639843701e-06,26.5791929727268,4.5,1959.29233534978,48.90909090909091,4.8,30.08
Philippines,2009,8.631252183028348e-06,24.8862804012556,4.7,1864.45043406471,48.90909090909091,5.0,30.08
Philippines,2010,7.555208497337714e-06,23.0284261383751,4.9,2162.91375885614,48.0,5.2,27.7
Philippines,2011,8.424450428327796e-06,20.2762007200701,5.1,2383.91892526787,48.90909090909091,5.4,30.08
Philippines,2012,7.684317832557395e-06,21.8351961883251,5.0,2614.61644410764,48.90909090909091,5.7,30.08
Philippines,2013,7.749623649831254e-06,22.7402636854564,4.9,2781.27957670473,48.90909090909091,5.9,30.08
Philippines,2014,6.835342207997229e-06,20.3368824432152,4.7,2866.83803767919,48.90909090909091,6.2,30.08
Philippines,2015,6.464051019803533e-06,19.7079275985218,4.7,2909.85818014474,57.0,6.4,24.4
Philippines,2016,7.2380614145193585e-06,19.9069716374648,4.7,2985.19564020101,48.90909090909091,6.7,30.08
Philippines,2017,7.433978866340936e-06,18.3327018141416,4.9,3038.12124955619,60.0,7.0,30.08
Poland,2000,1.7634334084822602e-05,25.7907754089004,8.1,4520.64100449111,66.0,17.9,38.9
Poland,2001,1.67185962221638e-05,26.0449129857227,8.1,5015.23790036613,76.0,18.3,30.930769230769233
Poland,2002,1.651187478510459e-05,26.5398574522192,8.3,5223.45178967082,76.0,18.9,30.930769230769233
Poland,2003,1.4496340773777269e-05,27.1048298406849,8.8,5720.81366178104,76.0,19.4,30.930769230769233
Poland,2004,1.521986580348451e-05,27.5690511834146,9.1,6711.72715262967,76.0,19.9,30.930769230769233
Poland,2005,1.6253472988780573e-05,27.7617425127035,9.3,8043.92332253757,71.0,20.5,34.6
Poland,2006,1.692531765922301e-05,27.7200391553045,9.7,9068.85528307627,76.0,21.0,30.930769230769233
Poland,2007,1.4341299695982858e-05,27.6048215747412,10.3,11272.5293683383,76.0,21.6,33.0
Poland,2008,1.4858103288630887e-05,27.4309285084638,10.5,14048.5604672654,76.0,22.2,30.930769230769233
Poland,2009,1.4806422929366086e-05,27.2131986939225,10.3,11556.3026866026,76.0,22.8,30.930769230769233
Poland,2010,1.4534675473730023e-05,26.9664708685675,10.2,12567.7317676382,75.0,23.5,30.9
Poland,2011,1.5607468497970533e-05,26.5458489052773,10.2,13867.6669408192,76.0,24.1,30.930769230769233
Poland,2012,1.4418820234880062e-05,24.1304928281428,10.4,13087.420943321,76.0,24.7,30.930769230769233
Poland,2013,1.50389845460577e-05,23.1892115212622,10.5,13621.9023794031,76.0,25.4,30.930769230769233
Poland,2014,1.6563555144369392e-05,23.433827803997,10.6,14262.2841914116,76.0,26.0,30.930769230769233
Poland,2015,1.5121982522515802e-05,22.4139830731908,10.4,12637.5220324406,80.0,26.7,27.6
Poland,2016,1.6589395324001792e-05,21.2485092459447,10.5,12464.0110508476,76.0,27.4,30.930769230769233
Poland,2017,1.472890239046888e-05,22.2631718698092,10.5,13913.3402919927,82.0,28.2,30.930769230769233
Slovenia,2000,0.0004555673198984,20.7629407401817,11.4,10135.7219109212,73.0,15.5,25.7
Slovenia,2001,0.0004025729297902,20.9341970231562,11.4,10375.6255869861,78.27272727272727,15.8,23.418181818181814
Slovenia,2002,0.0004235301162079,21.268223162792,11.0,11639.1297780477,78.27272727272727,16.1,23.418181818181814
Slovenia,2003,0.0004649571126149,21.6496505670105,10.5,14711.674874253,78.27272727272727,16.4,23.418181818181814
Slovenia,2004,0.0004639823597583,21.9631106437327,10.9,17103.8297783905,78.27272727272727,16.6,23.418181818181814
Slovenia,2005,0.0004362019033442,22.0932348008799,11.2,17969.7095907161,74.0,16.9,24.3
Slovenia,2006,0.0004698308768981,21.7654811995932,11.5,19563.005059144,78.27272727272727,17.1,23.418181818181814
Slovenia,2007,0.0004508231961937,20.9839149196018,11.4,23725.1596001515,78.27272727272727,17.3,23.7
Slovenia,2008,0.000440588291199,20.0510777467089,10.8,27461.9764165315,78.27272727272727,17.5,23.418181818181814
Slovenia,2009,0.0004366892797725,19.2695114667176,10.6,24501.7897290425,78.27272727272727,17.7,23.418181818181814
Slovenia,2010,0.0004457328733097,18.9417578654309,10.5,23329.8417691156,77.0,17.9,23.0
Slovenia,2011,0.000431328139061,20.6973508722527,10.6,24940.6284841605,78.27272727272727,18.1,23.418181818181814
Slovenia,2012,0.0004630076069016,18.3430191214734,10.4,22442.1417859955,78.27272727272727,18.4,23.418181818181814
